2023-09-14 21:25:57,821.message_consumer_type.INFO ==================================================
2023-09-14 21:25:57,821.message_consumer_type.INFO Today is 2023-09-14 at 09:25 PM
2023-09-14 21:25:57,822.message_consumer_type.INFO Running on: nt Windows 10
2023-09-14 21:25:57,822.message_consumer_type.INFO Python version:  3.11.1
2023-09-14 21:27:02,756.message_consumer_type.INFO  [x] Received Snow,Heavy
2023-09-14 21:27:02,757.message_consumer_type.INFO  [x] Done.
2023-09-14 21:27:04,758.message_consumer_type.INFO  [x] Received Snow,Light
2023-09-14 21:27:04,759.message_consumer_type.INFO  [x] Done.
2023-09-14 21:27:06,759.message_consumer_type.INFO  [x] Received Snow,Moderate
2023-09-14 21:27:06,760.message_consumer_type.INFO  [x] Done.
2023-09-14 21:27:08,760.message_consumer_type.INFO  [x] Received Snow,Light
2023-09-14 21:27:08,762.message_consumer_type.INFO  [x] Done.
2023-09-14 21:27:10,762.message_consumer_type.INFO  [x] Received Rain,Light
2023-09-14 21:27:10,763.message_consumer_type.INFO  [x] Done.
2023-09-14 21:27:12,763.message_consumer_type.INFO  [x] Received Snow,Light
2023-09-14 21:27:12,764.message_consumer_type.INFO  [x] Done.
2023-09-14 21:27:14,765.message_consumer_type.INFO  [x] Received Rain,Light
2023-09-14 21:27:14,766.message_consumer_type.INFO  [x] Done.
2023-09-14 21:27:16,766.message_consumer_type.INFO  [x] Received Snow,Light
2023-09-14 21:27:16,767.message_consumer_type.INFO  [x] Done.
2023-09-14 21:27:18,767.message_consumer_type.INFO  [x] Received Snow,Moderate
2023-09-14 21:27:18,768.message_consumer_type.INFO  [x] Done.
2023-09-14 21:27:20,768.message_consumer_type.INFO  [x] Received Snow,Light
2023-09-14 21:27:20,769.message_consumer_type.INFO  [x] Done.
2023-09-14 21:27:22,769.message_consumer_type.INFO  [x] Received Rain,Light
2023-09-14 21:27:22,770.message_consumer_type.INFO  [x] Done.
2023-09-14 21:27:24,771.message_consumer_type.INFO  [x] Received Rain,Light
2023-09-14 21:27:24,772.message_consumer_type.INFO  [x] Done.
2023-09-14 21:27:26,772.message_consumer_type.INFO  [x] Received Rain,Light
2023-09-14 21:27:26,773.message_consumer_type.INFO  [x] Done.
2023-09-14 21:27:28,773.message_consumer_type.INFO  [x] Received Rain,Light
2023-09-14 21:27:28,774.message_consumer_type.INFO  [x] Done.
2023-09-14 21:27:30,775.message_consumer_type.INFO  [x] Received Rain,Light
2023-09-14 21:27:30,776.message_consumer_type.INFO  [x] Done.
2023-09-14 21:27:32,776.message_consumer_type.INFO  [x] Received Rain,Light
2023-09-14 21:27:32,777.message_consumer_type.INFO  [x] Done.
2023-09-14 21:27:34,777.message_consumer_type.INFO  [x] Received Rain,Light
2023-09-14 21:27:34,778.message_consumer_type.INFO  [x] Done.
2023-09-14 21:27:36,779.message_consumer_type.INFO  [x] Received Rain,Light
2023-09-14 21:27:36,780.message_consumer_type.INFO  [x] Done.
2023-09-14 21:27:38,780.message_consumer_type.INFO  [x] Received Rain,Light
2023-09-14 21:27:38,780.message_consumer_type.INFO  [x] Done.
2023-09-14 21:27:40,781.message_consumer_type.INFO  [x] Received Rain,Light
2023-09-14 21:27:40,782.message_consumer_type.INFO  [x] Done.
2023-09-14 21:27:42,782.message_consumer_type.INFO  [x] Received Rain,Moderate
2023-09-14 21:27:42,783.message_consumer_type.INFO  [x] Done.
2023-09-14 21:27:44,784.message_consumer_type.INFO  [x] Received Rain,Light
2023-09-14 21:27:44,785.message_consumer_type.INFO  [x] Done.
2023-09-14 21:27:46,785.message_consumer_type.INFO  [x] Received Rain,Moderate
2023-09-14 21:27:46,786.message_consumer_type.INFO  [x] Done.
2023-09-14 21:27:48,787.message_consumer_type.INFO  [x] Received Rain,Light
2023-09-14 21:27:48,787.message_consumer_type.INFO  [x] Done.
2023-09-14 21:27:50,789.message_consumer_type.INFO  [x] Received Rain,Light
2023-09-14 21:27:50,790.message_consumer_type.INFO  [x] Done.
2023-09-14 21:27:52,790.message_consumer_type.INFO  [x] Received Rain,Light
2023-09-14 21:27:52,790.message_consumer_type.INFO  [x] Done.
2023-09-14 21:27:54,792.message_consumer_type.INFO  [x] Received Rain,Light
2023-09-14 21:27:54,793.message_consumer_type.INFO  [x] Done.
2023-09-14 21:27:56,793.message_consumer_type.INFO  [x] Received Rain,Light
2023-09-14 21:27:56,794.message_consumer_type.INFO  [x] Done.
2023-09-14 21:27:58,794.message_consumer_type.INFO  [x] Received Rain,Light
2023-09-14 21:27:58,795.message_consumer_type.INFO  [x] Done.
2023-09-14 21:28:00,796.message_consumer_type.INFO  [x] Received Rain,Light
2023-09-14 21:28:00,797.message_consumer_type.INFO  [x] Done.
2023-09-14 21:28:02,797.message_consumer_type.INFO  [x] Received Rain,Light
2023-09-14 21:28:02,798.message_consumer_type.INFO  [x] Done.
2023-09-14 21:28:04,801.message_consumer_type.INFO  [x] Received Rain,Light
2023-09-14 21:28:04,801.message_consumer_type.INFO  [x] Done.
2023-09-14 21:28:28,878.message_consumer_type.INFO  [x] Received Snow,Light
2023-09-14 21:28:28,878.message_consumer_type.INFO  [x] Done.
2023-09-14 21:28:30,878.message_consumer_type.INFO  [x] Received Snow,Light
2023-09-14 21:28:30,880.message_consumer_type.INFO  [x] Done.
2023-09-14 21:28:32,880.message_consumer_type.INFO  [x] Received Snow,Light
2023-09-14 21:28:32,881.message_consumer_type.INFO  [x] Done.
2023-09-14 21:28:34,882.message_consumer_type.INFO  [x] Received Snow,Light
2023-09-14 21:28:34,883.message_consumer_type.INFO  [x] Done.
2023-09-14 21:28:36,883.message_consumer_type.INFO  [x] Received Snow,Light
2023-09-14 21:28:36,884.message_consumer_type.INFO  [x] Done.
2023-09-14 21:28:38,884.message_consumer_type.INFO  [x] Received Snow,Moderate
2023-09-14 21:28:38,885.message_consumer_type.INFO  [x] Done.
2023-09-14 21:28:40,886.message_consumer_type.INFO  [x] Received Snow,Light
2023-09-14 21:28:40,887.message_consumer_type.INFO  [x] Done.
2023-09-14 21:28:42,887.message_consumer_type.INFO  [x] Received Snow,Light
2023-09-14 21:28:42,888.message_consumer_type.INFO  [x] Done.
2023-09-14 21:28:44,888.message_consumer_type.INFO  [x] Received Snow,Light
2023-09-14 21:28:44,889.message_consumer_type.INFO  [x] Done.
2023-09-14 21:28:46,890.message_consumer_type.INFO  [x] Received Snow,Light
2023-09-14 21:28:46,891.message_consumer_type.INFO  [x] Done.
2023-09-14 21:28:48,891.message_consumer_type.INFO  [x] Received Rain,Light
2023-09-14 21:28:48,892.message_consumer_type.INFO  [x] Done.
2023-09-14 21:28:50,893.message_consumer_type.INFO  [x] Received Rain,Light
2023-09-14 21:28:50,894.message_consumer_type.INFO  [x] Done.
2023-09-14 21:28:52,894.message_consumer_type.INFO  [x] Received Rain,Light
2023-09-14 21:28:52,895.message_consumer_type.INFO  [x] Done.
2023-09-14 21:28:54,895.message_consumer_type.INFO  [x] Received Snow,Moderate
2023-09-14 21:28:54,896.message_consumer_type.INFO  [x] Done.
2023-09-14 21:28:56,896.message_consumer_type.INFO  [x] Received Snow,Light
2023-09-14 21:28:56,896.message_consumer_type.INFO  [x] Done.
2023-09-14 21:28:58,898.message_consumer_type.INFO  [x] Received Snow,Moderate
2023-09-14 21:28:58,899.message_consumer_type.INFO  [x] Done.
2023-09-14 21:29:00,899.message_consumer_type.INFO  [x] Received Snow,Heavy
2023-09-14 21:29:00,900.message_consumer_type.INFO  [x] Done.
2023-09-14 21:29:02,901.message_consumer_type.INFO  [x] Received Snow,Light
2023-09-14 21:29:02,902.message_consumer_type.INFO  [x] Done.
2023-09-14 21:29:04,902.message_consumer_type.INFO  [x] Received Snow,Light
2023-09-14 21:29:04,902.message_consumer_type.INFO  [x] Done.
2023-09-14 21:29:06,904.message_consumer_type.INFO  [x] Received Snow,Light
2023-09-14 21:29:06,905.message_consumer_type.INFO  [x] Done.
2023-09-14 21:29:08,905.message_consumer_type.INFO  [x] Received Rain,Light
2023-09-14 21:29:08,906.message_consumer_type.INFO  [x] Done.
2023-09-14 21:29:10,907.message_consumer_type.INFO  [x] Received Rain,Light
2023-09-14 21:29:10,908.message_consumer_type.INFO  [x] Done.
2023-09-14 21:29:12,908.message_consumer_type.INFO  [x] Received Snow,Heavy
2023-09-14 21:29:12,909.message_consumer_type.INFO  [x] Done.
2023-09-14 21:29:14,909.message_consumer_type.INFO  [x] Received Rain,Moderate
2023-09-14 21:29:14,910.message_consumer_type.INFO  [x] Done.
2023-09-14 21:29:16,911.message_consumer_type.INFO  [x] Received Rain,Light
2023-09-14 21:29:16,911.message_consumer_type.INFO  [x] Done.
2023-09-14 21:29:18,912.message_consumer_type.INFO  [x] Received Snow,Light
2023-09-14 21:29:18,913.message_consumer_type.INFO  [x] Done.
2023-09-14 21:29:20,914.message_consumer_type.INFO  [x] Received Snow,Moderate
2023-09-14 21:29:20,915.message_consumer_type.INFO  [x] Done.
2023-09-14 21:29:22,915.message_consumer_type.INFO  [x] Received Rain,Light
2023-09-14 21:29:22,916.message_consumer_type.INFO  [x] Done.
2023-09-14 21:29:24,916.message_consumer_type.INFO  [x] Received Snow,Light
2023-09-14 21:29:24,918.message_consumer_type.INFO  [x] Done.
2023-09-14 21:29:26,918.message_consumer_type.INFO  [x] Received Snow,Moderate
2023-09-14 21:29:26,919.message_consumer_type.INFO  [x] Done.
2023-09-14 21:29:28,919.message_consumer_type.INFO  [x] Received Snow,Heavy
2023-09-14 21:29:28,920.message_consumer_type.INFO  [x] Done.
2023-09-14 21:29:30,920.message_consumer_type.INFO  [x] Received Snow,Light
2023-09-14 21:29:30,922.message_consumer_type.INFO  [x] Done.
2023-09-14 21:29:32,923.message_consumer_type.INFO  [x] Received Snow,Moderate
2023-09-14 21:29:32,923.message_consumer_type.INFO  [x] Done.
2023-09-14 21:29:37,924.message_consumer_type.INFO  User interrupted continuous listening process.
2023-09-14 21:29:37,924.message_consumer_type.INFO 
Closing connection. Goodbye.

