2023-09-14 21:28:28,867.message_producer.INFO ==================================================
2023-09-14 21:28:28,867.message_producer.INFO Today is 2023-09-14 at 09:28 PM
2023-09-14 21:28:28,867.message_producer.INFO Running on: nt Windows 10
2023-09-14 21:28:28,867.message_producer.INFO Python version:  3.11.1
2023-09-14 21:29:00,899.message_producer.INFO  [x] Sent Snow,Heavy to type_queue
2023-09-14 21:29:00,899.message_producer.INFO  [x] Sent Saguache,CO to location_queue
2023-09-14 21:29:00,899.message_producer.INFO  [x] Sent 0.19 to precipitation_que
2023-09-14 21:29:02,901.message_producer.INFO  [x] Sent Snow,Light to type_queue
2023-09-14 21:29:02,901.message_producer.INFO  [x] Sent Saguache,CO to location_queue
2023-09-14 21:29:02,901.message_producer.INFO  [x] Sent 0.03 to precipitation_que
2023-09-14 21:29:04,902.message_producer.INFO  [x] Sent Snow,Light to type_queue
2023-09-14 21:29:04,902.message_producer.INFO  [x] Sent Saguache,CO to location_queue
2023-09-14 21:29:04,902.message_producer.INFO  [x] Sent 0.04 to precipitation_que
2023-09-14 21:29:06,904.message_producer.INFO  [x] Sent Snow,Light to type_queue
2023-09-14 21:29:06,904.message_producer.INFO  [x] Sent Saguache,CO to location_queue
2023-09-14 21:29:06,904.message_producer.INFO  [x] Sent 0.09 to precipitation_que
2023-09-14 21:29:08,905.message_producer.INFO  [x] Sent Rain,Light to type_queue
2023-09-14 21:29:08,905.message_producer.INFO  [x] Sent Saguache,CO to location_queue
2023-09-14 21:29:08,905.message_producer.INFO  [x] Sent 0.01 to precipitation_que
2023-09-14 21:29:10,907.message_producer.INFO  [x] Sent Rain,Light to type_queue
2023-09-14 21:29:10,907.message_producer.INFO  [x] Sent Saguache,CO to location_queue
2023-09-14 21:29:10,907.message_producer.INFO  [x] Sent 0.02 to precipitation_que
2023-09-14 21:29:12,908.message_producer.INFO  [x] Sent Snow,Heavy to type_queue
2023-09-14 21:29:12,908.message_producer.INFO  [x] Sent Saguache,CO to location_queue
2023-09-14 21:29:12,908.message_producer.INFO  [x] Sent 0.19 to precipitation_que
2023-09-14 21:29:14,909.message_producer.INFO  [x] Sent Rain,Moderate to type_queue
2023-09-14 21:29:14,909.message_producer.INFO  [x] Sent Saguache,CO to location_queue
2023-09-14 21:29:14,909.message_producer.INFO  [x] Sent 0.12 to precipitation_que
2023-09-14 21:29:16,911.message_producer.INFO  [x] Sent Rain,Light to type_queue
2023-09-14 21:29:16,911.message_producer.INFO  [x] Sent Saguache,CO to location_queue
2023-09-14 21:29:16,911.message_producer.INFO  [x] Sent 0.03 to precipitation_que
2023-09-14 21:29:18,912.message_producer.INFO  [x] Sent Snow,Light to type_queue
2023-09-14 21:29:18,912.message_producer.INFO  [x] Sent Saguache,CO to location_queue
2023-09-14 21:29:18,913.message_producer.INFO  [x] Sent 0.02 to precipitation_que
2023-09-14 21:29:20,914.message_producer.INFO  [x] Sent Snow,Moderate to type_queue
2023-09-14 21:29:20,914.message_producer.INFO  [x] Sent Saguache,CO to location_queue
2023-09-14 21:29:20,914.message_producer.INFO  [x] Sent 0.04 to precipitation_que
2023-09-14 21:29:22,915.message_producer.INFO  [x] Sent Rain,Light to type_queue
2023-09-14 21:29:22,915.message_producer.INFO  [x] Sent Saguache,CO to location_queue
2023-09-14 21:29:22,915.message_producer.INFO  [x] Sent 0.04 to precipitation_que
2023-09-14 21:29:24,916.message_producer.INFO  [x] Sent Snow,Light to type_queue
2023-09-14 21:29:24,916.message_producer.INFO  [x] Sent Saguache,CO to location_queue
2023-09-14 21:29:24,916.message_producer.INFO  [x] Sent 0.07 to precipitation_que
2023-09-14 21:29:26,918.message_producer.INFO  [x] Sent Snow,Moderate to type_queue
2023-09-14 21:29:26,918.message_producer.INFO  [x] Sent Saguache,CO to location_queue
2023-09-14 21:29:26,919.message_producer.INFO  [x] Sent 0.08 to precipitation_que
2023-09-14 21:29:28,919.message_producer.INFO  [x] Sent Snow,Heavy to type_queue
2023-09-14 21:29:28,919.message_producer.INFO  [x] Sent Saguache,CO to location_queue
2023-09-14 21:29:28,920.message_producer.INFO  [x] Sent 0.08 to precipitation_que
2023-09-14 21:29:30,920.message_producer.INFO  [x] Sent Snow,Light to type_queue
2023-09-14 21:29:30,920.message_producer.INFO  [x] Sent Saguache,CO to location_queue
2023-09-14 21:29:30,920.message_producer.INFO  [x] Sent 0.02 to precipitation_que
2023-09-14 21:29:32,922.message_producer.INFO  [x] Sent Snow,Moderate to type_queue
2023-09-14 21:29:32,922.message_producer.INFO  [x] Sent Saguache,CO to location_queue
2023-09-14 21:29:32,923.message_producer.INFO  [x] Sent 0.09 to precipitation_que
